model,dimension,rep,steps,nfp,nfapf,npf,nIter,numMhAccepts,kl,covdiv,meandiv,entropydiv,histPerLoc,sampType,runtime,errorType,sqerr,mhType
finkel,25,10,2,800,160,800,70,235587,0.11968294027427963,0.3190697140247647,0.0662205075640108,-0.2656072813144959,9,bkf.SampleUniform,48.920580978,,1.654016200324123,bkf.MhSampled
finkel,25,10,3,800,160,800,70,248573,0.32024534148877354,0.5204030824160044,0.20529303866741463,-0.40545077959464537,9,bkf.SampleUniform,45.266367191,,2.1181048081862985,bkf.MhSampled
finkel,25,10,4,800,160,800,70,240479,0.6304201220389912,0.5948927368516339,0.49191556914326945,-0.4563881839559122,9,bkf.SampleUniform,42.398522137,,2.9876100956075247,bkf.MhSampled
finkel,25,10,5,800,160,800,70,240943,1.336291751882897,0.5796540828510316,1.2068057035436373,-0.4501680345117719,9,bkf.SampleUniform,42.219320204,,2.438376800737384,bkf.MhSampled
finkel,25,10,6,800,160,800,70,249332,1.3560205378197625,0.6262231104054692,1.2051665349168244,-0.47536910750253103,9,bkf.SampleUniform,42.855610665,,2.7198969827849724,bkf.MhSampled
finkel,25,10,7,800,160,800,70,239803,2.110298109785982,0.6498307937564465,1.9466444190948826,-0.48617710306534717,9,bkf.SampleUniform,43.277305432,,3.5692492826872204,bkf.MhSampled
finkel,25,10,8,800,160,800,70,249817,3.2331461215762083,0.6584065718256819,3.065515420428711,-0.49077587067818396,9,bkf.SampleUniform,47.377635934,,4.215411363994274,bkf.MhSampled
finkel,25,10,9,800,160,800,70,251396,3.43448472417942,0.5367703129027459,3.31041902591686,-0.4127046146401865,9,bkf.SampleUniform,45.617205808,,4.375590647941899,bkf.MhSampled
finkel,25,10,10,800,160,800,70,236287,3.8733337230450986,0.5748691241116559,3.7384574504903805,-0.43999285155693785,9,bkf.SampleUniform,45.510760809,,4.931020361659458,bkf.MhSampled
ideal,25,1,1,800,160,800,0,0,0.005217238480782667,-0.0017193349777527567,0.001850947039827224,0.0050856264187081985,0,none,,,1.8798622807039882,none
particle,25,1,1,800,160,800,0,0,0.00533723016488231,0.01030962425086529,0.0016163587661173887,-0.006588752852100369,0,none,,,1.8647665008564593,none
franken,25,1,1,800,160,800,0,0,0.02329689358699001,0.05554005491597863,0.006783780848590292,-0.03902694217757892,0,none,,,1.8795904858591919,none
ideal,25,1,2,800,160,800,0,0,0.003739162460357774,-0.024390711590956238,0.0014685293169010916,0.02666134473441292,0,none,,,1.970053747918153,none
particle,25,1,2,800,160,800,0,0,3.106626269524005,-0.6835946833076003,2.681880513454504,1.1083404393771008,0,none,0.007556941,,4.157679096524143,none
franken,25,1,2,800,160,800,0,0,3.135402186561894,-0.6493412628306414,2.711755378793598,1.0729880705989372,0,none,0.002295964,,4.151100645130468,none
ideal,25,1,3,800,160,800,0,0,0.007231318358861726,0.020327856527057736,0.004720423939237642,-0.01781696210743365,0,none,,,2.3300587457989903,none
particle,25,1,3,800,160,800,0,0,5.062005312982053,-0.5160948163074184,4.629280426667641,0.9488197026218302,0,none,0.007989581,,5.144401147788777,none
franken,25,1,3,800,160,800,0,0,1.912610336019708,-0.4315726359859167,1.5493686740088404,0.7948142979967842,0,none,0.001401145,,3.7406262948216407,none
ideal,25,1,4,800,160,800,0,0,0.005837467647840646,0.016624308578641,0.0029169916453855305,-0.013703832576185883,0,none,,,2.7051143161195266,none
particle,25,1,4,800,160,800,0,0,6.937543205302175,-0.05597577115472288,6.527329569660125,0.4661894067967717,0,none,0.015688436,,4.471220721063763,none
franken,25,1,4,800,160,800,0,0,2.817234779984783,-0.2507758282604936,2.4505491052914015,0.6174615029538753,0,none,0.001807402,,4.4821980015987055,none
ideal,25,1,5,800,160,800,0,0,0.005653758085598351,0.00814347794364001,0.0038019701427294333,-0.0062916900007710915,0,none,,,2.702108567410913,none
particle,25,1,5,800,160,800,0,0,9.265224650766958,-0.20659946896847733,8.88116408271942,0.5906600370160153,0,none,0.00490884,,6.498201356547814,none
franken,25,1,5,800,160,800,0,0,7.67012133385628,-0.2206120269400545,7.2544256337529855,0.6363077270433488,0,none,0.001063835,,5.675743620885381,none
ideal,25,1,6,800,160,800,0,0,0.010948791806907191,-0.0062303139574947375,0.0076523129544498105,0.00952679280995212,0,none,,,2.601339784210783,none
particle,25,1,6,800,160,800,0,0,9.076589236644661,0.12960113752572017,8.71933313066407,0.22765496845486874,0,none,0.007988484,,5.433718889642685,none
franken,25,1,6,800,160,800,0,0,7.237745689064859,-0.03701184410763533,6.837558294671451,0.43719923850104236,0,none,0.001641719,,6.006103702206189,none
ideal,25,1,7,800,160,800,0,0,0.0052472998607510975,0.00019204161249219975,0.0025314813791414313,0.0025237768691174656,0,none,,,2.6675932915253195,none
particle,25,1,7,800,160,800,0,0,21.07321200685929,0.3153299166435449,20.570996653846674,0.18688543636907257,0,none,0.007114649,,9.200895337501125,none
franken,25,1,7,800,160,800,0,0,15.524469596306322,-0.13741578699262658,15.05935096805297,0.6025344152459768,0,none,0.001628313,,7.212702919245489,none
ideal,25,1,8,800,160,800,0,0,0.008114714815550966,0.00640594433737493,0.006212587108593116,-0.0045038166304170795,0,none,,,2.390530526241981,none
particle,25,1,8,800,160,800,0,0,19.345022978034482,0.3424931503748667,18.932455600437294,0.07007422722231998,0,none,0.007570181,,13.787153745709189,none
franken,25,1,8,800,160,800,0,0,21.003355782242277,-0.2287543136274213,20.581551590711115,0.6505585051585785,0,none,0.00165118,,10.08841710586615,none
ideal,25,1,9,800,160,800,0,0,0.006202054349247893,0.024444591634609325,0.003598663016329201,-0.02184120030169063,0,none,,,3.000879750823173,none
particle,25,1,9,800,160,800,0,0,34.52288055394773,0.033999747258756347,34.0969130042347,0.39196780245427226,0,none,0.005192114,,20.78118745075847,none
franken,25,1,9,800,160,800,0,0,29.848127440141965,-0.06964802481574969,29.378592777369818,0.5391826875878952,0,none,0.001252519,,18.2994432782303,none
ideal,25,1,10,800,160,800,0,0,0.0043654150788205795,-0.0019247144677087824,0.001971797343730569,0.0043183322027987945,0,none,,,2.520459710811909,none
particle,25,1,10,800,160,800,0,0,69.94801166055426,0.0002438106279250285,69.51198677604249,0.43578107388384946,0,none,0.005435213,,30.687287551592547,none
franken,25,1,10,800,160,800,0,0,57.48186864419646,-0.0182785501142467,56.9979349910329,0.5022122032778138,0,none,0.001075556,,23.01192495553626,none
finkel,25,1,2,800,160,800,20,21584,0.11096995985252867,0.049352202107032866,0.07872161672614347,-0.01710385898064768,3,bkf.SampleLog,34.616535498,,2.160971732199141,bkf.MhSampled
finkel,25,1,3,800,160,800,20,21264,0.4864175022284969,0.1215486885271444,0.4334825735783193,-0.06861375987696694,3,bkf.SampleLog,33.077984546,,2.7198007959105803,bkf.MhSampled
finkel,25,1,4,800,160,800,20,18799,1.1873815821198046,0.07943475580792606,1.1237307324052654,-0.015783906093386764,3,bkf.SampleLog,32.269604916,,3.73939689213117,bkf.MhSampled
finkel,25,1,5,800,160,800,20,23513,4.274222116255591,0.062170000461567454,4.200701315838393,0.011350799955629867,3,bkf.SampleLog,35.182717256,,4.226768201886331,bkf.MhSampled
finkel,25,1,6,800,160,800,20,18278,4.260625311391804,0.04866307012485668,4.1920764274866,0.01988581378034812,3,bkf.SampleLog,32.782323774,,4.586927551984258,bkf.MhSampled
finkel,25,1,7,800,160,800,20,19251,8.451313219744113,0.14669634211409963,8.346426026003135,-0.04180914837312264,3,bkf.SampleLog,34.115643712,,5.212161283477161,bkf.MhSampled
finkel,25,1,8,800,160,800,20,17160,5.182964419227925,0.03721300753429946,5.109716329973,0.03603508172062654,3,bkf.SampleLog,33.0512933,,5.148152742792669,bkf.MhSampled
finkel,25,1,9,800,160,800,20,17824,8.00341850312816,0.009971908750018743,7.921896840000815,0.0715497543773259,3,bkf.SampleLog,33.117995701,,6.874539261289544,bkf.MhSampled
finkel,25,1,10,800,160,800,20,19952,14.02109088427303,-0.010184285696342277,13.93071461169726,0.10056055827210952,3,bkf.SampleLog,33.437196707,,6.907299485983148,bkf.MhSampled
finkel,25,1,2,800,160,800,20,26343,0.12750656343337935,0.10909604446461679,0.09360155928607969,-0.07519104031731715,9,bkf.SampleLog,35.436876331,,2.1564235369501152,bkf.MhSampled
finkel,25,1,3,800,160,800,20,26881,0.40751621221681594,0.12292130111499186,0.355089508143159,-0.07049459704133487,9,bkf.SampleLog,33.521662389,,2.6813344916587716,bkf.MhSampled
finkel,25,1,4,800,160,800,20,24854,1.1787384381285089,0.08870061889628003,1.1215440812478714,-0.03150626201564274,9,bkf.SampleLog,33.36681101,,3.700036817816731,bkf.MhSampled
