model,dimension,rep,steps,nfp,nfapf,npf,nIter,numMhAccepts,kl,covdiv,meandiv,entropydiv,histPerLoc,sampType,runtime,errorType
ideal,25,1,9,100,2000,10000,0,0,0.15560827610197503,0.11278547216416757,0.1275021223139223,-0.08467931837611489,0,none,,,143.76628659154517
particle,25,1,9,100,2000,10000,0,0,127.56041881220703,0.7516972921549412,126.80653214936024,0.0021893706918392473,0,none,0.176876735,,67.57840047144745
franken,25,1,9,100,2000,10000,0,0,120.03751033770448,0.39466694103624467,119.31798759687605,0.32485579979217505,0,none,0.026855062,,48.28674267900491
ideal,25,1,10,100,2000,10000,0,0,0.1023718784935974,-0.03237802769375164,0.08409086362454352,0.050659042562805526,0,none,,,336.00235158634547
particle,25,1,10,100,2000,10000,0,0,205.4548050713393,1.0178345625065786,204.65452241818429,-0.21755190935159932,0,none,0.08307195,,200.0838392459111
franken,25,1,10,100,2000,10000,0,0,293.70755948353354,0.09815981785026548,293.0741698820399,0.5352297836434238,0,none,0.023580144,,133.6286597410635
finkel,25,1,2,100,2000,10000,1,281,0.5686317293821815,0.8461220055661031,0.1433966099455335,-0.420886886129455,1,sampled..uniform,1.581560542,,1.1521903843867747
finkel,25,1,3,100,2000,10000,1,354,1.228950899495612,1.6549221912662366,0.21585535452163065,-0.641826646292255,1,sampled..uniform,0.445077488,,1.1670424831211519
finkel,25,1,4,100,2000,10000,1,519,2.3548810751220888,2.140763126004707,0.9564480386919009,-0.7423300895745186,1,sampled..uniform,0.229626155,,1.1467564299829778
finkel,25,1,5,100,2000,10000,1,635,3.16105896577698,2.6276405747380664,1.5173235851872455,-0.9839051941483324,1,sampled..uniform,0.268685657,,1.2593899433822864
finkel,25,1,6,100,2000,10000,1,757,5.901105354931737,3.474571883480527,3.6085124841770146,-1.1819790127258059,1,sampled..uniform,0.247945951,,1.8517712344188215
finkel,25,1,7,100,2000,10000,1,839,13.473772618471001,5.804212766055463,9.198634566558258,-1.5290747141427206,1,sampled..uniform,0.22528929,,2.320776326735233
finkel,25,1,8,100,2000,10000,1,956,32.10486719233036,22.54474550946619,11.571619822544841,-2.0114981396806697,1,sampled..uniform,0.447752338,,4.497928785556328
finkel,25,1,9,100,2000,10000,1,1273,7172533608909717e13,7172533608909717e13,11.577260509164155,-6.536664793996987,1,sampled..uniform,0.240825406,,17.621766193900033
finkel,25,1,10,100,2000,10000,1,1287,,,,,1,sampled..uniform,0.196915737,SingularException
finkel,25,1,2,100,2000,10000,1,322,0.536554599604722,0.6810286051031877,0.16375342215833327,-0.308227427656799,2,sampled..uniform,0.220727331,,1.1350513718148474
finkel,25,1,3,100,2000,10000,1,394,1.1743866222984927,1.6203866783580374,0.13555894490438633,-0.581559000963931,2,sampled..uniform,0.272860513,,1.2220367498119675
