model,dimension,rep,steps,nfp,nfapf,npf,nIter,numMhAccepts,kl,covdiv,meandiv,entropydiv,histPerLoc,sampType,runtime,errorType,sqerr,mhType,useForward,neighborhoodsize,mvl
franken,28,1,5,800,128000,640000,1,0,2.0327467671365436,-0.3790203416206486,1.7166101479910874,0.6951569607661046,0,none,82.506140154,,2.9417405324148462,none,,4,(-0.7820730200225683, 1.8609828578481888)
ideal,28,1,6,800,128000,640000,1,0,0.004488840249704066,0.01901183931257264,0.0015376729937790895,-0.016060672056647664,0,none,,,1.8946438659484868,none,,,(-4.455340055629292, 4.24956868309018)
particle,28,1,6,800,128000,640000,1,0,1.3545569807241873,-0.3932225207979876,1.0154222733709757,0.7323572281511993,0,none,342.274960738,,2.9198747424567757,none,,,(-2.5277789270354423, 2.212204497573176)
franken,28,1,6,800,128000,640000,1,0,1.283217144617011,-0.37018826595243565,0.9666668874786958,0.6867385230907511,0,none,82.686928111,,2.81450530422002,none,,4,(-2.6864805768079463, 1.8685303095262156)
ideal,28,1,7,800,128000,640000,1,0,0.004420437421468024,-0.004346063756178718,0.0015681634384761799,0.0071983377391705615,0,none,,,1.782406824770629,none,,,(-6.093979757978028, 4.264857439798806)
particle,28,1,7,800,128000,640000,1,0,1.6792860302270805,-0.37235372068237227,1.3549116117726863,0.6967281391367667,0,none,327.234413723,,2.745680688525443,none,,,(-3.50439747991056, 1.980628308510627)
franken,28,1,7,800,128000,640000,1,0,1.5518605582698797,-0.3686074525848503,1.234574407870075,0.685893602984655,0,none,82.579717993,,2.70776669075017,none,,4,(-3.6476400072823307, 1.8487026249586722)
ideal,28,1,8,800,128000,640000,1,0,0.003775896441400956,-0.013687558630905268,0.001437737898951733,0.016025717173354485,0,none,,,1.9872362357348952,none,,,(-8.370121385362637, 4.2712663287078385)
particle,28,1,8,800,128000,640000,1,0,2.681812078553347,-0.3737553672377327,2.3574739005095093,0.69809354528157,0,none,322.107794244,,2.833695865974197,none,,,(-4.609599490921629, 2.111723989522729)
franken,28,1,8,800,128000,640000,1,0,2.6964714526180242,-0.36445018252040584,2.3792605835926306,0.6816610515457998,0,none,82.995125237,,2.8311931969311934,none,,4,(-5.095086587567543, 1.8591002422748122)
ideal,28,1,9,800,128000,640000,1,0,0.00654770108013315,0.00438751640178572,0.0035073701356952126,-0.0013471854573477837,0,none,,,1.9390167267615255,none,,,(-7.41309420173632, 4.2739575290147105)
particle,28,1,9,800,128000,640000,1,0,3.251974780461881,-0.4034960926153272,2.9077373789501895,0.7477334941270198,0,none,320.055505702,,3.6433617988967315,none,,,(-4.120530189526724, 2.108190099423589)
franken,28,1,9,800,128000,640000,1,0,2.798395959475504,-0.3642869990589481,2.479435695284793,0.6832472632496588,0,none,82.673109842,,3.5013347902209975,none,,4,(-4.466543306956755, 1.8725609986720175)
