model,dimension,rep,steps,nfp,nfapf,npf,nIter,numMhAccepts,kl,covdiv,meandiv,entropydiv,histPerLoc,sampType,runtime,errorType,sqerr,mhType
franken,50,1,10,400,32000,160000,1,0,89.85602728148822,-0.17752535347639076,89.4667448501402,0.5668077848244052,0,none,8.296155923,,34.99045793113826,none
ideal,50,1,11,400,32000,160000,1,0,0.00798378620588987,-0.018303230929103242,0.004207732498934939,0.022079284636058176,0,none,,,2.687788257202957,none
particle,50,1,11,400,32000,160000,1,0,142.49091416994318,0.40433470608931404,142.05968373005166,0.0268957338021894,0,none,2.238996439,,74.83895512529894,none
franken,50,1,11,400,32000,160000,1,0,150.27679064732664,-0.10485106620725242,149.86357434563553,0.5180673678983491,0,none,7.768527116,,56.53516250644704,none
ideal,50,1,12,400,32000,160000,1,0,0.008685197565117847,0.00042737967509691444,0.005761165379572781,0.00249665251044815,0,none,,,2.7469683184303753,none
particle,50,1,12,400,32000,160000,1,0,250.76945737895144,0.401240628698328,250.33869192735665,0.029524822896524278,0,none,2.22402573,,128.8154082675265,none
franken,50,1,12,400,32000,160000,1,0,267.8423760791454,0.016828328445388965,267.4263059359306,0.39924181476943,0,none,7.328502971,,101.76558329527236,none
ideal,50,1,13,400,32000,160000,1,0,0.005189386956142393,0.013176875423944023,0.0023390761142026823,-0.010326564582004313,0,none,,,3.26682476136307,none
particle,50,1,13,400,32000,160000,1,0,480.34068948983594,0.40559440612810815,479.90877759883006,0.026317484877696282,0,none,2.242876788,,234.42903402939075,none
franken,50,1,13,400,32000,160000,1,0,436.63448500562737,0.12599428269393453,436.2249289533102,0.2835617696232706,0,none,9.23610862,,181.2941425170568,none
ideal,50,1,14,400,32000,160000,1,0,0.01068807902455895,-0.013807564539660519,0.007887668260744605,0.016607975303474864,0,none,,,3.096773630639394,none
particle,50,1,14,400,32000,160000,1,0,881.4444813628826,0.4036769704938296,881.0130147407285,0.027789651660362576,0,none,2.250211903,,423.9432294368363,none
franken,50,1,14,400,32000,160000,1,0,740.5731325880364,0.25166603395513765,740.1305046152735,0.19096193880781676,0,none,8.111676243,,322.62115338418914,none
ideal,50,1,15,400,32000,160000,1,0,0.0052986425853693625,0.01566927355018151,0.0019586494047035365,-0.012329280369515683,0,none,,,2.4666656834283485,none
particle,50,1,15,400,32000,160000,1,0,1514.5605664300654,0.4021114396682809,1514.13011038522,0.028344605177110425,0,none,2.340258292,,720.3864776104468,none
franken,50,1,15,400,32000,160000,1,0,1187.6032096075035,0.35756809983585736,1187.166429023276,0.07921248439156375,0,none,5.026404949,,562.73178615395,none
