model,dimension,rep,steps,nfp,nfapf,npf,nIter,numMhAccepts,kl,covdiv,meandiv,entropydiv,histPerLoc,sampType,runtime
franken,25,1,6,100,2000,10000,0,0,30.77664122162443,-0.09928342609403223,30.20892547594281,0.6669991717756609,NA,NA,0.022794637
ideal,25,1,7,100,2000,10000,0,0,0.18354791966937634,-0.06563287074008178,0.13901683423635108,0.11016395617310702,NA,NA,NA
particle,25,1,7,100,2000,10000,0,0,62.53084397680579,0.4059292039180318,61.74950404019164,0.37541073269613096,NA,NA,0.148670617
franken,25,1,7,100,2000,10000,0,0,48.681143553233824,0.05123394501949316,48.136574291486696,0.4933353167276325,NA,NA,0.023329572
ideal,25,1,8,100,2000,10000,0,0,0.10660646450318037,0.12338464659465137,0.045709766378399845,-0.06248794846987084,NA,NA,NA
particle,25,1,8,100,2000,10000,0,0,84.04164814762342,0.9503106442169191,83.26879276234546,-0.17745525893898137,NA,NA,0.08099932
franken,25,1,8,100,2000,10000,0,0,74.49870467704326,0.23644404341368624,73.90477407352289,0.35748656010667706,NA,NA,0.02484896
ideal,25,1,9,100,2000,10000,0,0,0.16961234389455285,0.13557590231978114,0.12358562830285898,-0.08954918672808726,NA,NA,NA
particle,25,1,9,100,2000,10000,0,0,139.09263498125947,1.0192891270041153,138.29149632803265,-0.2181504737772857,NA,NA,0.178822696
franken,25,1,9,100,2000,10000,0,0,144.17104528384692,0.14407114707660013,143.51007478360142,0.5168993531688753,NA,NA,0.02199581
ideal,25,1,10,100,2000,10000,0,0,0.09090763628243793,0.12883494253504,0.06425728003607131,-0.10218458628867336,NA,NA,NA
particle,25,1,10,100,2000,10000,0,0,240.14945837877576,1.0492257444073636,239.32840769914137,-0.2281750647729816,NA,NA,0.270728461
franken,25,1,10,100,2000,10000,0,0,234.47286228009983,0.4888815620213088,233.7571534210361,0.22682729704240448,NA,NA,0.024004117
ideal,25,2,1,100,2000,10000,0,0,0.03752696349429868,0.09286488007542354,0.008362441250366167,-0.06370035783149101
particle,25,2,1,100,2000,10000,0,0,0.0004907493859464063,-0.00497723548840448,0.00014687043127085899,0.005321114443080027
franken,25,2,1,100,2000,10000,0,0,0.002093392177128424,-0.0033848987844096456,0.0008846624222388494,0.00459362853929922
ideal,25,2,2,100,2000,10000,0,0,0.06557967048774012,-0.018590593924824067,0.03010029436415953,0.05406997004840465,NA,NA,NA
